time,Open,High,Low,Close,Volume
03.01.2018 19:30:00.000 GMT+0430,1.20177,1.20248,1.20034,1.20236,14180.2598
03.01.2018 20:30:00.000 GMT+0430,1.20234,1.20322,1.20196,1.20298,10201.3701
03.01.2018 21:30:00.000 GMT+0430,1.20299,1.20315,1.20241,1.20271,7101.7002
03.01.2018 22:30:00.000 GMT+0430,1.20271,1.20294,1.20219,1.20270,7499.52
03.01.2018 23:30:00.000 GMT+0430,1.20274,1.20299,1.20011,1.20162,13163.9102
04.01.2018 00:30:00.000 GMT+0430,1.20164,1.20289,1.20102,1.20123,7827.23
04.01.2018 01:30:00.000 GMT+0430,1.20124,1.20158,1.20100,1.20141,4936.9902
04.01.2018 02:30:00.000 GMT+0430,1.20142,1.20160,1.20102,1.20105,3309.2
04.01.2018 03:30:00.000 GMT+0430,1.20105,1.20140,1.20064,1.20107,4200.2598
04.01.2018 04:30:00.000 GMT+0430,1.20108,1.20114,1.20044,1.20099,5588.6201
04.01.2018 05:30:00.000 GMT+0430,1.20099,1.20109,1.20048,1.20077,5328.4902
04.01.2018 06:30:00.000 GMT+0430,1.20078,1.20190,1.20076,1.20178,5889.7998
04.01.2018 07:30:00.000 GMT+0430,1.20176,1.20178,1.20124,1.20143,4299.2598
04.01.2018 08:30:00.000 GMT+0430,1.20143,1.20223,1.20143,1.20179,4944.6201
04.01.2018 09:30:00.000 GMT+0430,1.20179,1.20229,1.20144,1.20191,5306.8198
04.01.2018 10:30:00.000 GMT+0430,1.20190,1.20379,1.20171,1.20278,8811.21
04.01.2018 11:30:00.000 GMT+0430,1.20278,1.20375,1.20251,1.20283,10333.6504
04.01.2018 12:30:00.000 GMT+0430,1.20282,1.20350,1.20214,1.20257,11022.25
04.01.2018 13:30:00.000 GMT+0430,1.20256,1.20458,1.20250,1.20433,10038.9902
04.01.2018 14:30:00.000 GMT+0430,1.20432,1.20557,1.20413,1.20513,11759.7598
04.01.2018 15:30:00.000 GMT+0430,1.20514,1.20657,1.20467,1.20621,11879.4697
04.01.2018 16:30:00.000 GMT+0430,1.20620,1.20742,1.20592,1.20704,10519.29
04.01.2018 17:30:00.000 GMT+0430,1.20705,1.20748,1.20550,1.20621,15048.9902
04.01.2018 18:30:00.000 GMT+0430,1.20625,1.20860,1.20601,1.20823,14412.4502
04.01.2018 19:30:00.000 GMT+0430,1.20821,1.20889,1.20714,1.20743,14998.8301
04.01.2018 20:30:00.000 GMT+0430,1.20743,1.20767,1.20609,1.20632,13925.8301
04.01.2018 21:30:00.000 GMT+0430,1.20632,1.20783,1.20618,1.20744,11850.2598
04.01.2018 22:30:00.000 GMT+0430,1.20746,1.20801,1.20608,1.20647,9504.5898
04.01.2018 23:30:00.000 GMT+0430,1.20646,1.20717,1.20638,1.20714,7095.9502
05.01.2018 00:30:00.000 GMT+0430,1.20716,1.20734,1.20652,1.20685,7211.75
05.01.2018 01:30:00.000 GMT+0430,1.20684,1.20712,1.20653,1.20680,4575.5098
05.01.2018 02:30:00.000 GMT+0430,1.20679,1.20725,1.20650,1.20716,2694.6399
05.01.2018 03:30:00.000 GMT+0430,1.20712,1.20725,1.20663,1.20664,3172.3999
05.01.2018 04:30:00.000 GMT+0430,1.20663,1.20796,1.20650,1.20772,6090.6699
05.01.2018 05:30:00.000 GMT+0430,1.20772,1.20793,1.20699,1.20721,5659.9702
05.01.2018 06:30:00.000 GMT+0430,1.20722,1.20741,1.20681,1.20709,5605.8501
05.01.2018 07:30:00.000 GMT+0430,1.20709,1.20755,1.20708,1.20744,4208.2798
